Algorithm,Avg_WT,Avg_TAT
RR,-1.00,1.50
RR,1.75,5.25
RR,0.00,3.50
SJF-NP,2.00,4.67
SRTF,1.67,4.33
Priority-P,2.67,5.33
Priority_NP,2.67,5.33
FCFS,2.67,5.33
RR,2.00,4.67
SJF-NP,0.50,4.00
SRTF,0.50,4.00
Priority-P,0.50,4.00
Priority_NP,0.50,4.00
FCFS,0.50,4.00
RR,0.50,4.00
SJF-NP,1.33,4.00
SRTF,1.00,3.67
SJF-NP,1.33,4.33
SRTF,1.33,4.33
SJF-NP,1.00,3.33
SRTF,1.00,3.33
SJF-NP,0.00,1.33
SRTF,0.00,1.33
SJF-NP,1.33,4.33
SRTF,1.33,4.33
SJF-NP,0.00,3.00
SRTF,0.00,3.00
SJF-NP,3.67,7.33
SRTF,2.33,6.00
SJF-NP,2.67,6.33
SRTF,2.00,5.67
SJF-NP,3.00,8.50
SRTF,2.00,7.50
SJF-NP,4.00,8.00
SRTF,2.00,6.00
Priority-P,5.00,9.00
Priority_NP,5.00,9.00
FCFS,5.00,9.00
RR,3.67,7.67
SJF-NP,4.67,9.67
SRTF,3.33,8.33
SJF-NP,5.00,10.33
SRTF,4.00,9.33
RR,1.33,4.00
RR,5.67,9.67
SRTF,3.00,7.00
SJF-NP,1.67,4.67
SRTF,1.67,4.67
Priority-P,2.33,5.33
Priority_NP,2.33,5.33
FCFS,2.33,5.33
RR,2.33,5.33
Priority-P,1.50,6.00
SJF-NP,1.00,4.00
SRTF,0.67,3.67
Priority-P,2.00,5.00
Priority_NP,1.00,4.00
FCFS,1.00,4.00
RR,1.00,4.00
SJF-NP,0.50,4.50
SRTF,0.50,4.50
Priority-P,0.50,4.50
Priority_NP,0.50,4.50
FCFS,0.50,4.50
RR,1.50,5.50
SRTF,0.50,4.50
SJF-NP,2.25,6.00
SRTF,2.25,6.00
SJF-NP,0.67,4.67
SRTF,0.67,4.67
Priority-P,0.67,4.67
Priority_NP,0.67,4.67
FCFS,0.67,4.67
RR,1.33,5.33
RR,1.33,5.33
Priority-P,2.00,6.00
RR,1.33,5.33
FCFS,4.25,8.25
SJF-NP,4.25,8.25
SRTF,2.00,6.00
Priority-P,2.00,6.00
RR,4.25,8.25
SRTF,2.00,6.00
FCFS,3.00,6.75
Priority_NP,3.00,6.75
RR,6.00,9.75
RR,0.33,3.00
RR,1.67,5.33
SJF-NP,1.00,4.67
SRTF,1.67,5.33
SRTF,1.67,5.33
SRTF,1.67,4.67
SRTF,2.67,8.00
SRTF,0.67,4.00
SJF-NP,0.67,4.00
SRTF,0.67,4.00
Priority-P,0.67,4.00
Priority_NP,0.67,4.00
FCFS,0.67,4.00
RR,1.33,4.67
Priority-P,0.67,4.00
Priority-P,4.33,9.00
Priority-P,0.67,4.00
Priority-P,3.33,7.00
Priority-P,3.33,7.00
FCFS,2.67,6.33
SJF-NP,2.33,6.00
FCFS,3.00,8.67
FCFS,4.00,9.00
RR,7.00,12.00
Priority-P,4.00,9.00
RR,6.67,11.67
SJF-NP,4.00,9.00
SRTF,3.33,8.33
Priority-P,4.00,9.00
Priority_NP,4.00,9.00
FCFS,3.00,6.00
SJF-NP,3.00,6.00
SRTF,1.67,4.67
FCFS,4.33,8.67
SJF-NP,4.00,8.33
SRTF,3.33,7.67
RR,6.00,10.33
SRTF,3.00,7.33
SRTF,3.00,7.33
RR,5.67,10.00
FCFS,3.00,7.33
FCFS,0.00,1.67
SJF-NP,0.00,1.67
SRTF,0.00,1.67
Priority-P,0.00,1.67
RR,0.00,1.67
SRTF,0.33,3.33
SJF-NP,0.33,3.33
Priority-P,0.67,3.67
Priority_NP,0.33,3.33
